nan	nan	nan	nan	nan	1.30775e-14	2.66136e-14	5.32453e-14	1.04773e-13	2.02828e-13	3.86186e-13	7.23532e-13	1.33401e-12	2.41988e-12	4.31922e-12	7.58384e-12	1.30971e-11	2.22446e-11	3.71488e-11	6.09919e-11	9.84113e-11	1.56053e-10	2.43127e-10	3.72201e-10	5.5975e-10	8.27039e-10	1.20073e-09	1.71341e-09	2.40366e-09	3.31612e-09	4.50122e-09	6.01522e-09	7.91696e-09	1.0267e-08	1.31283e-08	1.65549e-08	2.05915e-08	2.52655e-08	3.05786e-08	3.64992e-08	4.29496e-08	4.981e-08	5.69098e-08	6.40327e-08	7.09434e-08	7.73681e-08	8.3068e-08	8.77854e-08	9.13118e-08	9.34966e-08	9.42366e-08	9.34974e-08	9.13111e-08	8.77848e-08	8.30671e-08	7.73673e-08	7.09417e-08	6.40331e-08	5.69074e-08	4.98097e-08	4.295e-08	3.64995e-08	3.0579e-08	2.52655e-08	2.05915e-08	1.65545e-08	1.31284e-08	1.02674e-08	7.91681e-09	6.0152e-09	4.50119e-09	3.31609e-09	2.40368e-09	1.71334e-09	1.20075e-09	8.2701e-10	5.59753e-10	3.72203e-10	2.43136e-10	1.56056e-10	9.8415e-11	6.09902e-11	3.71485e-11	2.22445e-11	1.30969e-11	7.58439e-12	4.31926e-12	2.41991e-12	1.33402e-12	7.23575e-13	3.86189e-13	2.02824e-13	1.04776e-13	5.32448e-14	2.66114e-14	1.30773e-14	nan	nan	nan	nan	nan	
nan	nan	nan	nan	1.409e-14	2.91208e-14	5.91565e-14	1.18127e-13	2.31952e-13	4.48029e-13	8.51154e-13	1.59108e-12	2.92643e-12	5.29648e-12	9.43088e-12	1.65222e-11	2.84725e-11	4.82684e-11	8.04554e-11	1.31869e-10	2.12472e-10	3.36486e-10	5.23629e-10	8.00674e-10	1.20315e-09	1.77629e-09	2.57758e-09	3.67601e-09	5.15398e-09	7.10667e-09	9.64191e-09	1.28771e-08	1.69354e-08	2.19434e-08	2.80277e-08	3.52991e-08	4.38455e-08	5.37184e-08	6.49118e-08	7.73473e-08	9.08763e-08	1.05228e-07	1.20043e-07	1.34897e-07	1.49289e-07	1.62677e-07	1.74511e-07	1.84306e-07	1.91646e-07	1.96172e-07	1.977e-07	1.96164e-07	1.91644e-07	1.84307e-07	1.74512e-07	1.62673e-07	1.49289e-07	1.34895e-07	1.20045e-07	1.05226e-07	9.08756e-08	7.73479e-08	6.4912e-08	5.37177e-08	4.38465e-08	3.52989e-08	2.80274e-08	2.19433e-08	1.69353e-08	1.28774e-08	9.64197e-09	7.10657e-09	5.15402e-09	3.67592e-09	2.57761e-09	1.7763e-09	1.20319e-09	8.00688e-10	5.23641e-10	3.36479e-10	2.12475e-10	1.31873e-10	8.04591e-11	4.82673e-11	2.84743e-11	1.65223e-11	9.43033e-12	5.29649e-12	2.92651e-12	1.59108e-12	8.51151e-13	4.48024e-13	2.31958e-13	1.18122e-13	5.91577e-14	2.91205e-14	1.40901e-14	nan	nan	nan	nan	
nan	nan	nan	1.47626e-14	3.10299e-14	6.4057e-14	1.29908e-13	2.589e-13	5.07259e-13	9.77453e-13	1.85207e-12	3.45268e-12	6.33182e-12	1.1428e-11	2.0295e-11	3.54569e-11	6.09491e-11	1.03078e-10	1.71436e-10	2.80389e-10	4.50953e-10	7.12839e-10	1.10779e-09	1.6918e-09	2.53914e-09	3.74545e-09	5.43001e-09	7.73817e-09	1.08423e-08	1.49405e-08	2.02564e-08	2.70318e-08	3.55239e-08	4.59894e-08	5.86743e-08	7.38083e-08	9.15544e-08	1.12007e-07	1.3514e-07	1.60789e-07	1.88598e-07	2.18054e-07	2.48431e-07	2.78824e-07	3.08226e-07	3.35548e-07	3.59718e-07	3.79702e-07	3.94629e-07	4.03877e-07	4.06983e-07	4.03868e-07	3.94626e-07	3.79687e-07	3.59712e-07	3.35538e-07	3.08223e-07	2.78818e-07	2.48432e-07	2.18052e-07	1.88595e-07	1.60789e-07	1.3514e-07	1.12007e-07	9.15537e-08	7.38087e-08	5.86755e-08	4.59893e-08	3.55242e-08	2.70326e-08	2.02567e-08	1.49402e-08	1.08424e-08	7.73831e-09	5.43002e-09	3.74558e-09	2.53905e-09	1.69176e-09	1.10776e-09	7.12853e-10	4.50958e-10	2.80386e-10	1.71443e-10	1.03079e-10	6.09502e-11	3.54576e-11	2.02953e-11	1.14281e-11	6.33207e-12	3.45267e-12	1.85207e-12	9.77418e-13	5.0724e-13	2.58909e-13	1.29915e-13	6.4052e-14	3.10315e-14	1.47619e-14	nan	nan	nan	
nan	nan	1.4852e-14	3.17723e-14	6.67315e-14	1.37583e-13	2.78605e-13	5.54345e-13	1.08407e-12	2.08436e-12	3.94162e-12	7.33114e-12	1.34149e-11	2.41533e-11	4.27859e-11	7.45782e-11	1.27924e-10	2.15838e-10	3.58216e-10	5.84833e-10	9.38911e-10	1.48186e-09	2.29957e-09	3.50721e-09	5.25857e-09	7.74912e-09	1.1224e-08	1.59828e-08	2.23771e-08	3.08164e-08	4.17496e-08	5.56706e-08	7.30938e-08	9.45362e-08	1.20487e-07	1.51362e-07	1.87522e-07	2.29062e-07	2.7596e-07	3.27845e-07	3.83977e-07	4.43333e-07	5.04382e-07	5.65428e-07	6.24365e-07	6.79139e-07	7.27543e-07	7.67521e-07	7.9738e-07	8.15866e-07	8.22118e-07	8.15875e-07	7.97394e-07	7.67528e-07	7.27534e-07	6.79141e-07	6.24367e-07	5.65422e-07	5.04388e-07	4.43322e-07	3.83975e-07	3.27847e-07	2.75961e-07	2.29069e-07	1.8752e-07	1.51364e-07	1.20486e-07	9.45373e-08	7.3094e-08	5.56678e-08	4.17496e-08	3.08154e-08	2.23769e-08	1.59825e-08	1.12241e-08	7.74952e-09	5.25861e-09	3.50721e-09	2.29956e-09	1.48186e-09	9.38899e-10	5.84839e-10	3.58231e-10	2.15838e-10	1.27926e-10	7.45779e-11	4.27865e-11	2.41533e-11	1.3415e-11	7.33087e-12	3.9416e-12	2.08445e-12	1.08409e-12	5.54321e-13	2.78599e-13	1.37577e-13	6.67284e-14	3.17727e-14	1.48519e-14	nan	nan	
nan	1.43868e-14	3.14035e-14	6.71254e-14	1.4087e-13	2.90089e-13	5.86763e-13	1.16566e-12	2.27558e-12	4.36751e-12	8.24162e-12	1.52951e-11	2.79228e-11	5.01505e-11	8.86346e-11	1.54133e-10	2.63736e-10	4.43987e-10	7.35407e-10	1.1982e-09	1.91998e-09	3.02529e-09	4.68737e-09	7.13989e-09	1.0691e-08	1.57374e-08	2.27708e-08	3.23971e-08	4.53197e-08	6.23581e-08	8.4414e-08	1.12468e-07	1.47546e-07	1.90632e-07	2.42687e-07	3.04536e-07	3.76741e-07	4.59613e-07	5.52886e-07	6.55828e-07	7.6698e-07	8.84284e-07	1.00477e-06	1.12504e-06	1.24109e-06	1.34884e-06	1.44377e-06	1.52233e-06	1.581e-06	1.61731e-06	1.62964e-06	1.61728e-06	1.58102e-06	1.52233e-06	1.44378e-06	1.34884e-06	1.24111e-06	1.12504e-06	1.00478e-06	8.84276e-07	7.6699e-07	6.55826e-07	5.52895e-07	4.59604e-07	3.76751e-07	3.0454e-07	2.42687e-07	1.90634e-07	1.47544e-07	1.12468e-07	8.44134e-08	6.23569e-08	4.532e-08	3.23968e-08	2.27709e-08	1.57375e-08	1.0691e-08	7.13972e-09	4.68741e-09	3.02528e-09	1.91998e-09	1.19816e-09	7.3542e-10	4.43994e-10	2.63738e-10	1.54132e-10	8.86389e-11	5.0151e-11	2.79231e-11	1.52948e-11	8.24154e-12	4.36732e-12	2.27553e-12	1.16562e-12	5.86754e-13	2.90091e-13	1.40877e-13	6.71275e-14	3.14039e-14	1.4387e-14	nan	
1.34039e-14	2.98804e-14	6.51955e-14	1.39263e-13	2.92044e-13	6.00848e-13	1.21363e-12	2.40805e-12	4.69334e-12	8.99151e-12	1.69329e-11	3.1359e-11	5.71234e-11	1.02358e-10	1.80451e-10	3.13044e-10	5.34401e-10	8.97545e-10	1.4832e-09	2.41142e-09	3.85703e-09	6.06635e-09	9.38245e-09	1.42713e-08	2.13398e-08	3.13752e-08	4.53484e-08	6.44523e-08	9.00791e-08	1.23832e-07	1.67489e-07	2.22947e-07	2.92179e-07	3.77111e-07	4.79575e-07	6.01015e-07	7.42569e-07	9.04607e-07	1.08658e-06	1.28702e-06	1.50313e-06	1.73059e-06	1.96397e-06	2.19656e-06	2.42085e-06	2.62832e-06	2.81167e-06	2.96315e-06	3.07609e-06	3.14601e-06	3.16988e-06	3.14613e-06	3.07606e-06	2.96313e-06	2.81167e-06	2.62835e-06	2.42081e-06	2.19654e-06	1.964e-06	1.7306e-06	1.50318e-06	1.28702e-06	1.0866e-06	9.04583e-07	7.42565e-07	6.01004e-07	4.79584e-07	3.77116e-07	2.92175e-07	2.22949e-07	1.67489e-07	1.23831e-07	9.00796e-08	6.44543e-08	4.5347e-08	3.13761e-08	2.13396e-08	1.42712e-08	9.38239e-09	6.06633e-09	3.85683e-09	2.41152e-09	1.48318e-09	8.97527e-10	5.34378e-10	3.13027e-10	1.80456e-10	1.02355e-10	5.71236e-11	3.13578e-11	1.69328e-11	8.99133e-12	4.6933e-12	2.40795e-12	1.21367e-12	6.00844e-13	2.92047e-13	1.39264e-13	6.51971e-14	2.98802e-14	1.34035e-14	
2.73699e-14	6.09548e-14	1.32889e-13	2.83583e-13	5.94255e-13	1.22129e-12	2.46433e-12	4.88254e-12	9.50301e-12	1.81733e-11	3.4164e-11	6.31386e-11	1.14757e-10	2.05169e-10	3.60893e-10	6.24585e-10	1.06359e-09	1.78252e-09	2.93878e-09	4.76773e-09	7.60966e-09	1.1946e-08	1.84461e-08	2.80086e-08	4.18235e-08	6.14088e-08	8.86593e-08	1.25857e-07	1.75718e-07	2.41336e-07	3.26107e-07	4.33658e-07	5.67739e-07	7.3196e-07	9.29746e-07	1.16381e-06	1.43599e-06	1.74688e-06	2.09546e-06	2.47844e-06	2.89048e-06	3.32352e-06	3.76683e-06	4.20854e-06	4.63344e-06	5.02722e-06	5.37394e-06	5.65997e-06	5.87355e-06	6.00581e-06	6.05036e-06	6.00575e-06	5.87369e-06	5.66008e-06	5.37384e-06	5.02724e-06	4.63346e-06	4.20854e-06	3.76683e-06	3.32352e-06	2.89051e-06	2.47851e-06	2.09544e-06	1.74693e-06	1.43596e-06	1.1638e-06	9.29765e-07	7.31964e-07	5.67747e-07	4.33653e-07	3.26118e-07	2.41336e-07	1.75719e-07	1.25854e-07	8.86605e-08	6.14119e-08	4.18237e-08	2.8008e-08	1.84458e-08	1.19455e-08	7.60965e-09	4.7678e-09	2.93883e-09	1.78251e-09	1.06358e-09	6.24601e-10	3.60901e-10	2.05167e-10	1.14758e-10	6.31384e-11	3.41636e-11	1.81734e-11	9.50308e-12	4.88246e-12	2.46435e-12	1.22127e-12	5.94237e-13	2.83586e-13	1.32893e-13	6.09545e-14	2.73696e-14	
5.49271e-14	1.2216e-13	2.66047e-13	5.67153e-13	1.1872e-12	2.4378e-12	4.91282e-12	9.72221e-12	1.88948e-11	3.60839e-11	6.77104e-11	1.24902e-10	2.26542e-10	4.04129e-10	7.09147e-10	1.22451e-09	2.08041e-09	3.47781e-09	5.72145e-09	9.26062e-09	1.47485e-08	2.31067e-08	3.5618e-08	5.39925e-08	8.04938e-08	1.18013e-07	1.70162e-07	2.41279e-07	3.36518e-07	4.61659e-07	6.23145e-07	8.27788e-07	1.08263e-06	1.39421e-06	1.76884e-06	2.2115e-06	2.72501e-06	3.31048e-06	3.96513e-06	4.68363e-06	5.4546e-06	6.26353e-06	7.0908e-06	7.91293e-06	8.70413e-06	9.43518e-06	1.00797e-05	1.06102e-05	1.10073e-05	1.12528e-05	1.1336e-05	1.12528e-05	1.10073e-05	1.06103e-05	1.00796e-05	9.43514e-06	8.70399e-06	7.91292e-06	7.09064e-06	6.26357e-06	5.45456e-06	4.68356e-06	3.96524e-06	3.31048e-06	2.72498e-06	2.2115e-06	1.76884e-06	1.39422e-06	1.08263e-06	8.27774e-07	6.23153e-07	4.61652e-07	3.36522e-07	2.41274e-07	1.70161e-07	1.18013e-07	8.04948e-08	5.3992e-08	3.56184e-08	2.31071e-08	1.47485e-08	9.26075e-09	5.72139e-09	3.4779e-09	2.08035e-09	1.22449e-09	7.09161e-10	4.04122e-10	2.26541e-10	1.24906e-10	6.7709e-11	3.60847e-11	1.88954e-11	9.72152e-12	4.91278e-12	2.43784e-12	1.18719e-12	5.67161e-13	2.66035e-13	1.22158e-13	5.49236e-14	
1.08364e-13	2.40616e-13	5.23236e-13	1.11412e-12	2.32985e-12	4.7782e-12	9.61989e-12	1.9014e-11	3.69055e-11	7.03645e-11	1.31826e-10	2.42717e-10	4.39365e-10	7.82076e-10	1.3694e-09	2.35896e-09	3.99875e-09	6.66857e-09	1.09445e-08	1.7674e-08	2.80896e-08	4.39196e-08	6.75595e-08	1.02226e-07	1.52154e-07	2.22719e-07	3.20695e-07	4.54162e-07	6.32609e-07	8.6684e-07	1.16879e-06	1.55097e-06	2.02613e-06	2.6063e-06	3.30262e-06	4.12337e-06	5.07448e-06	6.15654e-06	7.36452e-06	8.68613e-06	1.01021e-05	1.15863e-05	1.31e-05	1.46037e-05	1.60468e-05	1.73811e-05	1.85546e-05	1.95233e-05	2.0245e-05	2.06923e-05	2.08419e-05	2.06924e-05	2.02446e-05	1.95231e-05	1.8555e-05	1.7381e-05	1.60473e-05	1.4604e-05	1.31003e-05	1.15864e-05	1.01021e-05	8.68633e-06	7.36448e-06	6.15661e-06	5.07457e-06	4.12342e-06	3.30259e-06	2.60632e-06	2.0261e-06	1.55099e-06	1.16878e-06	8.66847e-07	6.3261e-07	4.54156e-07	3.20691e-07	2.22716e-07	1.52155e-07	1.02229e-07	6.75582e-08	4.39201e-08	2.80886e-08	1.76737e-08	1.09442e-08	6.66871e-09	3.99887e-09	2.35895e-09	1.36944e-09	7.82082e-10	4.39369e-10	2.42707e-10	1.31819e-10	7.03663e-11	3.69077e-11	1.90133e-11	9.61943e-12	4.77804e-12	2.32985e-12	1.11414e-12	5.23203e-13	2.40618e-13	1.08364e-13	
2.10273e-13	4.65882e-13	1.01145e-12	2.15044e-12	4.49116e-12	9.19965e-12	1.84975e-11	3.65194e-11	7.07876e-11	1.3479e-10	2.52106e-10	4.63368e-10	8.37199e-10	1.48722e-09	2.59859e-09	4.46628e-09	7.55146e-09	1.25646e-08	2.05733e-08	3.31507e-08	5.25592e-08	8.2001e-08	1.25883e-07	1.90119e-07	2.82486e-07	4.12844e-07	5.93522e-07	8.39327e-07	1.16761e-06	1.59811e-06	2.15215e-06	2.85256e-06	3.72186e-06	4.78202e-06	6.05209e-06	7.54732e-06	9.27544e-06	1.1238e-05	1.34246e-05	1.58116e-05	1.83639e-05	2.10332e-05	2.37571e-05	2.6452e-05	2.90411e-05	3.14253e-05	3.35273e-05	3.52593e-05	3.65495e-05	3.73456e-05	3.76165e-05	3.73459e-05	3.65495e-05	3.52585e-05	3.35267e-05	3.14259e-05	2.90409e-05	2.64521e-05	2.37565e-05	2.10335e-05	1.83638e-05	1.58118e-05	1.34247e-05	1.12381e-05	9.27555e-06	7.54727e-06	6.05202e-06	4.78211e-06	3.72178e-06	2.85262e-06	2.15215e-06	1.5981e-06	1.16762e-06	8.39346e-07	5.93532e-07	4.12836e-07	2.82489e-07	1.90122e-07	1.25884e-07	8.20012e-08	5.25593e-08	3.31508e-08	2.05734e-08	1.2565e-08	7.55158e-09	4.46611e-09	2.59852e-09	1.48721e-09	8.37186e-10	4.63372e-10	2.52106e-10	1.34786e-10	7.07869e-11	3.65181e-11	1.84965e-11	9.19974e-12	4.4911e-12	2.15052e-12	1.0114e-12	4.65893e-13	2.10254e-13	
